year,month,day,dayOfWeek,airline,flightNumber,origin,destination,departureDelay,arrivalDelay,cancelled,diverted
2015,4,28,2,AS,AS1135,DEN,MSP,64.69,68.1,0,0
2015,10,22,4,NK,NK1136,MSP,DTW,-12.22,2.48,0,0
2015,8,24,1,AS,AS1137,DEN,DTW,25.67,39.33,0,0
2015,6,8,1,AS,AS1138,SFO,PHX,40.08,48.31,0,0
2015,6,28,7,AS,AS1139,LAX,SFO,4.81,12.75,0,0
2015,2,8,7,UA,UA1140,IAH,CLT,25.81,20.09,0,0
2015,11,22,7,AS,AS1141,PHX,LAX,-6.09,-0.9,0,0
2015,6,30,2,DL,DL1142,MIA,CLT,19.15,27.43,0,0
2015,2,16,1,NK,NK1143,CLT,DFW,9.27,1.46,0,0
2015,3,19,4,AA,AA1144,CLT,ORD,42.8,26.4,0,0
2015,1,21,3,WN,WN1145,CLT,JFK,11.89,10.98,0,0
2015,1,27,2,AS,AS1146,DEN,PHX,2.15,-0.74,0,0
2015,11,5,4,UA,UA1147,PHX,DEN,9.68,18.44,0,0
2015,7,20,1,UA,UA1148,DEN,MIA,0.57,-2.03,0,0
2015,12,17,4,DL,DL1149,DTW,LAS,-2.11,19.22,0,0
2015,4,9,4,WN,WN1150,LAX,DEN,7.26,1.01,0,0
2015,9,27,7,AA,AA1151,PHX,LAX,7.86,15.03,0,0
2015,3,26,4,F9,F91152,DFW,DTW,0.98,-16.78,0,0
2015,8,18,2,WN,WN1153,SFO,MIA,71.6,57.68,0,0
2015,10,20,2,F9,F91154,CLT,MIA,12.5,15.35,0,0
2015,11,6,5,UA,UA1155,SEA,DFW,35.73,31.5,0,0
2015,3,5,4,B6,B61156,DEN,JFK,8.74,9.21,0,0
2015,4,24,5,F9,F91157,LAS,ATL,-1.16,6.53,0,0
2015,4,25,6,AA,AA1158,PHX,ORD,12.51,4.05,0,0
2015,8,30,7,UA,UA1159,IAH,CLT,26.95,29.08,0,0
2015,11,8,7,NK,NK1160,ORD,MIA,9.26,16.35,0,0
2015,2,2,1,DL,DL1161,IAH,ATL,7.98,5.19,0,1
2015,6,30,2,WN,WN1162,DTW,JFK,52.94,67.05,0,0
2015,9,17,4,AA,AA1163,MSP,IAH,-0.86,7.19,0,0
2015,2,4,3,AS,AS1164,SFO,ORD,24.0,19.84,0,0
2015,11,26,4,UA,UA1165,CLT,IAH,26.63,26.95,0,0
2015,5,31,7,WN,WN1166,DFW,BOS,51.37,60.69,0,0
2015,8,31,1,B6,B61167,DFW,BOS,6.62,7.71,0,0
2015,7,8,3,NK,NK1168,MSP,CLT,8.95,26.05,0,0
2015,9,23,3,B6,B61169,DEN,DTW,-6.9,-12.83,0,0
2015,2,10,2,AS,AS1170,MIA,CLT,8.58,17.06,0,0
2015,6,30,2,NK,NK1171,SEA,DFW,0.06,-2.72,0,0
2015,1,16,5,UA,UA1172,CLT,DFW,6.01,20.48,0,0
2015,1,17,6,UA,UA1173,CLT,LAS,5.86,-1.55,0,0
2015,11,29,7,B6,B61174,SFO,ORD,8.78,20.67,0,0
2015,5,14,4,F9,F91175,BOS,MIA,33.02,35.97,0,0
2015,3,30,1,F9,F91176,DEN,PHX,21.19,14.41,0,0
2015,3,22,7,UA,UA1177,LAS,SFO,6.33,13.5,0,0
2015,10,11,7,AS,AS1178,CLT,LAX,33.85,40.4,0,0
2015,9,27,7,NK,NK1179,DTW,DEN,3.72,9.59,0,0
2015,3,7,6,UA,UA1180,LAX,DTW,15.21,7.09,0,0
2015,3,24,2,AS,AS1181,SFO,LAS,39.71,41.94,0,0
2015,10,10,6,B6,B61182,LAX,MIA,39.3,48.64,0,0
2015,3,29,7,AS,AS1183,DFW,ATL,18.02,16.66,0,0
2015,10,20,2,NK,NK1184,ATL,IAH,25.63,25.39,0,0
2015,12,17,4,NK,NK1185,MIA,CLT,13.01,19.18,0,0
2015,11,7,6,UA,UA1186,PHX,LAS,146.21,154.85,0,0
2015,8,27,4,DL,DL1187,SEA,CLT,10.44,17.23,0,0
2015,5,8,5,UA,UA1188,PHX,BOS,10.57,13.67,0,0
2015,1,12,1,DL,DL1189,MSP,CLT,65.07,75.36,0,0
2015,12,1,2,F9,F91190,MIA,ATL,2.47,12.43,0,0
2015,7,7,2,AA,AA1191,MSP,DFW,8.46,21.01,0,0
2015,10,9,5,B6,B61192,ORD,LAX,64.04,75.85,0,0
2015,3,15,7,WN,WN1193,MSP,DFW,9.69,18.15,0,0
2015,11,7,6,UA,UA1194,PHX,JFK,-6.44,-13.72,0,0
2015,9,18,5,F9,F91195,MIA,IAH,12.84,24.65,0,0
2015,12,19,6,AA,AA1196,IAH,SEA,68.88,58.33,0,0
2015,10,26,1,F9,F91197,JFK,MSP,4.15,5.31,0,0
2015,1,10,6,F9,F91198,PHX,DTW,2.0,-2.66,0,0
2015,2,1,7,UA,UA1199,BOS,PHX,81.46,85.51,0,0
2015,9,30,3,AS,AS1200,LAS,SEA,28.2,36.83,0,0
2015,6,2,2,B6,B61201,BOS,IAH,-5.84,12.32,0,0
2015,3,4,3,NK,NK1202,MSP,LAS,66.97,63.73,0,0
2015,6,27,6,F9,F91203,SEA,IAH,7.99,5.38,0,0
2015,2,25,3,WN,WN1204,SFO,DFW,8.22,9.01,0,0
2015,8,30,7,DL,DL1205,LAX,ATL,74.52,76.87,0,0
2015,9,1,2,F9,F91206,BOS,MIA,-5.63,-16.5,0,0
2015,10,1,4,AA,AA1207,JFK,DTW,85.24,104.29,0,0
2015,9,11,5,UA,UA1208,MIA,DFW,1.53,2.95,0,0
2015,11,25,3,F9,F91209,LAX,CLT,7.59,3.91,0,0
2015,4,6,1,AA,AA1210,PHX,MIA,5.23,3.27,0,0
2015,8,7,5,AS,AS1211,DEN,MSP,27.63,34.67,0,0
2015,5,14,4,NK,NK1212,SFO,CLT,34.75,35.82,0,0
2015,12,1,2,AS,AS1213,SFO,DFW,18.09,22.11,0,0
2015,12,27,7,B6,B61214,ORD,MIA,8.66,31.42,0,0
2015,11,7,6,AS,AS1215,DTW,IAH,32.2,21.04,0,0
2015,11,2,1,DL,DL1216,CLT,LAS,2.37,4.25,0,0
2015,10,21,3,UA,UA1217,JFK,PHX,24.74,32.06,0,0
2015,9,19,6,F9,F91218,DFW,CLT,-3.89,4.33,0,0
2015,6,7,7,AA,AA1219,MSP,SEA,24.58,17.07,0,0
2015,2,2,1,AA,AA1220,DEN,IAH,-6.51,3.91,0,0
2015,11,27,5,NK,NK1221,LAS,MSP,11.76,10.88,0,0
2015,10,4,7,UA,UA1222,LAS,ORD,-4.55,-3.83,0,0
2015,1,2,5,AA,AA1223,MIA,CLT,10.79,11.07,0,0
2015,6,27,6,UA,UA1224,SEA,BOS,58.09,57.22,0,0
2015,1,9,5,WN,WN1225,BOS,DEN,15.56,20.82,0,0
2015,1,23,5,NK,NK1226,CLT,SFO,5.38,-5.45,0,0
2015,4,30,4,AS,AS1227,PHX,SFO,12.31,24.52,0,0
2015,2,1,7,UA,UA1228,DTW,IAH,-1.42,11.1,0,0
2015,12,23,3,NK,NK1229,DTW,LAX,9.01,21.11,0,0
2015,12,29,2,UA,UA1230,CLT,DFW,15.0,15.95,0,0
2015,4,15,3,AS,AS1231,DEN,CLT,41.11,51.16,0,0
2015,12,11,5,AA,AA1232,DEN,BOS,9.74,6.5,0,0
2015,6,20,6,B6,B61233,ATL,BOS,72.14,74.2,0,0
2015,5,5,2,WN,WN1234,MSP,SFO,6.25,1.52,0,0
2015,5,14,4,AS,AS1235,IAH,CLT,13.95,15.9,0,0
2015,7,9,4,AS,AS1236,DTW,DFW,5.81,13.23,0,0
2015,10,24,6,NK,NK1237,MIA,LAX,6.3,19.61,0,0
2015,12,17,4,AS,AS1238,SEA,IAH,41.73,37.51,0,0
2015,3,28,6,UA,UA1239,IAH,JFK,25.42,25.42,0,0
2015,2,8,7,AA,AA1240,ATL,DTW,2.95,3.75,0,0
2015,8,22,6,AS,AS1241,DFW,IAH,39.72,43.69,0,0
2015,5,21,4,B6,B61242,ATL,DTW,29.82,30.78,0,0
2015,4,9,4,B6,B61243,LAS,SEA,51.7,64.34,0,0
2015,12,23,3,WN,WN1244,MIA,DEN,37.74,30.24,0,0
2015,10,10,6,F9,F91245,DFW,ATL,45.13,55.8,0,0
2015,2,18,3,AA,AA1246,SFO,BOS,48.53,41.86,0,0
2015,12,17,4,B6,B61247,DFW,JFK,34.85,56.61,0,0
2015,12,31,4,NK,NK1248,DEN,MIA,5.91,24.06,0,0
2015,6,19,5,NK,NK1249,LAX,DEN,7.62,10.19,0,0
2015,6,24,3,NK,NK1250,PHX,ATL,27.75,22.19,0,0
2015,7,12,7,NK,NK1251,JFK,MSP,-5.52,-12.22,0,0
2015,3,20,5,NK,NK1252,LAX,MSP,5.64,9.15,0,0
2015,5,19,2,DL,DL1253,LAX,DEN,-4.66,1.55,0,0
2015,7,1,3,DL,DL1254,PHX,MSP,-6.91,3.26,0,0
2015,5,5,2,UA,UA1255,MSP,JFK,2.06,13.91,0,0
2015,8,4,2,B6,B61256,IAH,DEN,17.0,15.61,0,0
2015,8,23,7,DL,DL1257,LAX,MIA,-7.18,5.18,0,0
2015,8,14,5,AS,AS1258,DTW,LAX,-4.83,-9.28,0,0
2015,7,23,4,AS,AS1259,MIA,IAH,64.43,60.47,0,0
2015,7,6,1,DL,DL1260,BOS,JFK,-3.22,-6.35,0,0
2015,8,13,4,B6,B61261,DEN,DTW,31.54,39.75,0,0
2015,8,5,3,NK,NK1262,DEN,CLT,79.86,83.91,0,0
2015,12,21,1,NK,NK1263,DFW,LAS,31.15,24.22,0,0
2015,5,8,5,AS,AS1264,JFK,DFW,-2.07,-8.19,0,0
2015,8,9,7,DL,DL1265,ATL,ORD,-4.65,-2.3,0,0
2015,8,17,1,AS,AS1266,MSP,CLT,13.0,11.02,0,0
2015,2,23,1,B6,B61267,DTW,DEN,9.12,10.51,0,0
2015,4,16,4,F9,F91268,LAS,IAH,3.46,-2.18,0,0
2015,12,30,3,DL,DL1269,ATL,PHX,21.82,20.52,0,0
2015,3,31,2,UA,UA1270,PHX,DTW,62.9,74.0,0,0
2015,8,10,1,NK,NK1271,ATL,BOS,4.32,7.64,0,0
2015,12,27,7,DL,DL1272,ORD,JFK,6.28,13.0,0,0
2015,11,24,2,AS,AS1273,MSP,ORD,11.26,5.11,0,0
2015,6,2,2,DL,DL1274,LAX,PHX,3.27,11.05,0,0
2015,8,3,1,UA,UA1275,MSP,DTW,-3.11,-9.36,0,0
2015,10,12,1,UA,UA1276,IAH,MIA,1.54,12.59,0,0
2015,1,5,1,F9,F91277,LAX,BOS,38.87,39.73,0,0
2015,8,1,6,F9,F91278,IAH,JFK,18.28,23.89,0,0
2015,10,3,6,B6,B61279,JFK,CLT,6.32,0.06,0,0
2015,5,18,1,AS,AS1280,DFW,CLT,8.71,11.47,0,0
2015,6,2,2,AA,AA1281,CLT,SEA,8.5,3.64,0,0
2015,5,2,6,WN,WN1282,LAS,DTW,8.49,15.67,0,0
2015,6,29,1,B6,B61283,JFK,PHX,106.19,119.25,0,0
2015,12,14,1,DL,DL1284,LAX,DTW,110.17,112.41,0,0
2015,5,8,5,UA,UA1285,PHX,SFO,18.78,13.48,0,0
2015,8,1,6,NK,NK1286,CLT,DEN,28.87,29.45,0,0
2015,7,8,3,F9,F91287,IAH,PHX,15.54,7.16,0,0
2015,11,22,7,AS,AS1288,DEN,MSP,0.01,5.37,0,0
2015,6,22,1,UA,UA1289,IAH,PHX,60.59,61.14,0,0
2015,1,9,5,DL,DL1290,JFK,CLT,13.44,16.01,0,0
2015,11,29,7,B6,B61291,JFK,SEA,2.88,8.43,0,0
2015,1,27,2,NK,NK1292,MIA,SFO,8.01,12.95,0,0
2015,10,31,6,WN,WN1293,CLT,ATL,2.75,9.12,0,0
2015,9,2,3,DL,DL1294,SFO,MSP,6.29,5.78,0,0
2015,7,15,3,UA,UA1295,LAX,DEN,16.58,20.2,0,0
2015,11,18,3,UA,UA1296,DTW,CLT,69.84,74.75,0,0
2015,7,16,4,AS,AS1297,DTW,PHX,25.24,39.75,0,0
2015,11,8,7,B6,B61298,ATL,MIA,0.95,0.73,0,0
2015,5,3,7,F9,F91299,MSP,ORD,3.01,3.67,0,0
2015,7,4,6,AS,AS1300,LAX,MSP,38.32,38.14,0,0
2015,2,7,6,AA,AA1301,DEN,ATL,7.74,11.44,0,0
2015,11,18,3,NK,NK1302,DTW,MSP,-5.78,-5.3,0,0
2015,9,19,6,WN,WN1303,LAX,PHX,-5.09,-13.43,0,0
2015,12,24,4,NK,NK1304,SFO,DFW,8.54,9.73,0,0
2015,12,8,2,UA,UA1305,ORD,ATL,22.85,21.28,0,0
2015,5,13,3,UA,UA1306,LAS,LAX,38.65,32.37,0,0
2015,6,21,7,NK,NK1307,SEA,DEN,16.11,17.35,0,0
2015,1,29,4,F9,F91308,JFK,LAS,7.48,-6.3,0,0
2015,9,18,5,AA,AA1309,DFW,ATL,-2.74,1.65,0,0
2015,1,19,1,NK,NK1310,SFO,PHX,11.07,10.53,0,0
2015,3,3,2,AA,AA1311,JFK,SFO,54.58,55.27,0,0
2015,5,25,1,B6,B61312,PHX,DEN,10.35,13.62,0,0
2015,11,15,7,WN,WN1313,CLT,LAS,-8.76,-5.19,0,0
2015,5,6,3,UA,UA1314,ATL,DTW,-5.99,-5.93,0,0
2015,6,21,7,AA,AA1315,MSP,MIA,-0.8,1.1,0,0
2015,3,14,6,B6,B61316,DEN,DFW,84.19,81.36,0,0
2015,2,13,5,DL,DL1317,LAX,MSP,-2.78,-3.31,0,0
2015,5,14,4,AS,AS1318,MSP,PHX,4.57,10.69,0,0
2015,10,27,2,DL,DL1319,LAX,ORD,-2.99,1.74,0,0
2015,4,17,5,F9,F91320,MIA,CLT,8.42,14.63,0,0
2015,12,23,3,AA,AA1321,BOS,PHX,-0.08,-17.49,0,0
2015,6,3,3,B6,B61322,JFK,ATL,79.46,74.39,0,0
2015,2,22,7,UA,UA1323,ORD,ATL,6.1,3.53,0,0
2015,12,18,5,DL,DL1324,SEA,DEN,20.86,30.66,0,0
2015,6,19,5,DL,DL1325,DFW,CLT,12.57,11.66,0,0
2015,7,15,3,NK,NK1326,JFK,LAS,7.49,16.47,0,0
2015,11,14,6,WN,WN1327,MIA,IAH,2.3,4.41,0,0
2015,4,13,1,WN,WN1328,ATL,MSP,15.47,26.24,0,0
2015,9,15,2,AS,AS1329,MSP,SEA,2.64,10.75,0,0
2015,1,30,5,F9,F91330,LAS,SFO,167.3,177.19,0,0
2015,1,29,4,WN,WN1331,MSP,LAS,75.42,78.16,0,0
2015,12,24,4,AS,AS1332,ATL,LAS,30.36,29.35,0,0
2015,9,10,4,B6,B61333,JFK,IAH,0.0,0.0,1,0
2015,6,19,5,WN,WN1334,LAX,PHX,45.19,40.65,0,0
2015,10,28,3,UA,UA1335,ORD,LAS,18.2,34.82,0,0
2015,6,4,4,AS,AS1336,LAX,JFK,9.19,16.6,0,0
2015,12,29,2,AS,AS1337,SFO,JFK,4.33,0.68,0,1
2015,12,26,6,NK,NK1338,DFW,JFK,52.63,45.66,0,0
2015,9,12,6,UA,UA1339,PHX,DEN,9.82,12.28,0,0
2015,12,29,2,AS,AS1340,CLT,ATL,5.01,11.01,0,0
2015,1,1,4,AA,AA1341,MSP,CLT,49.47,49.26,0,0
2015,10,7,3,NK,NK1342,ORD,IAH,7.16,3.81,0,0
2015,1,18,7,B6,B61343,ATL,PHX,10.79,18.26,0,0
2015,2,8,7,DL,DL1344,PHX,IAH,9.13,17.0,0,0
2015,1,28,3,DL,DL1345,PHX,BOS,77.2,85.69,0,0
2015,12,5,6,B6,B61346,MIA,SFO,-2.9,6.4,0,0
2015,1,2,5,NK,NK1347,DEN,MIA,15.3,11.82,0,0
2015,11,23,1,B6,B61348,DEN,IAH,20.67,31.19,0,0
2015,2,16,1,NK,NK1349,JFK,LAS,41.48,50.84,0,0
2015,4,26,7,B6,B61350,DFW,LAX,22.48,22.54,0,0
2015,10,29,4,WN,WN1351,DFW,MSP,12.04,19.89,0,0
2015,5,1,5,F9,F91352,MIA,DEN,6.29,7.6,0,0
2015,10,20,2,UA,UA1353,ORD,CLT,26.31,27.21,0,0
2015,8,5,3,DL,DL1354,DTW,BOS,67.14,59.27,0,0
2015,2,4,3,DL,DL1355,MSP,PHX,0.0,0.0,1,0
2015,10,28,3,NK,NK1356,ORD,DTW,-4.66,-5.96,0,0
2015,2,24,2,DL,DL1357,MIA,LAS,56.77,71.39,0,0
2015,3,30,1,B6,B61358,MSP,LAX,19.88,15.53,0,0
2015,12,20,7,WN,WN1359,DFW,IAH,64.03,66.06,0,0
2015,5,24,7,F9,F91360,ORD,SFO,13.54,15.14,0,0
2015,8,2,7,DL,DL1361,BOS,CLT,10.89,2.14,0,0
2015,1,29,4,UA,UA1362,DEN,MIA,7.84,18.79,0,0
2015,3,30,1,WN,WN1363,BOS,DFW,-12.23,-4.39,0,0
2015,8,26,3,NK,NK1364,ORD,ATL,-3.67,-0.06,0,0
2015,10,10,6,AS,AS1365,LAS,JFK,23.77,41.83,0,0
2015,1,26,1,UA,UA1366,BOS,SFO,20.83,18.14,0,0
2015,12,16,3,AA,AA1367,IAH,LAX,23.74,26.12,0,0
2015,6,6,6,B6,B61368,DTW,MSP,43.04,47.47,0,0
2015,11,16,1,NK,NK1369,ORD,ATL,-3.06,-13.19,0,0
2015,11,8,7,B6,B61370,MIA,ORD,1.68,10.19,0,0
2015,12,2,3,B6,B61371,BOS,LAX,5.17,10.9,0,0
2015,7,26,7,AS,AS1372,LAX,ATL,34.3,37.2,0,0
2015,1,19,1,WN,WN1373,PHX,SFO,16.2,12.26,0,0
2015,6,3,3,UA,UA1374,JFK,MIA,9.29,16.75,0,0
2015,4,4,6,AS,AS1375,DEN,SFO,4.75,0.9,0,0
